Rainfall - (MM), Year, Statistics, Country, ISO3
113.7, 2003, Feb Average, Australia, AUS
41.8, 2003, Mar Average, Australia, AUS
28.0, 2003, Apr Average, Australia, AUS
17.4, 2003, May Average, Australia, AUS
21.5, 2003, Jun Average, Australia, AUS
16.3, 2003, Jul Average, Australia, AUS
29.1, 2003, Aug Average, Australia, AUS
13.5, 2003, Sep Average, Australia, AUS
21.6, 2003, Oct Average, Australia, AUS
28.4, 2003, Nov Average, Australia, AUS
63.0, 2003, Dec Average, Australia, AUS
93.9, 2004, Jan Average, Australia, AUS
103.9, 2004, Feb Average, Australia, AUS
59.5, 2004, Mar Average, Australia, AUS
24.2, 2004, Apr Average, Australia, AUS
30.9, 2004, May Average, Australia, AUS
20.6, 2004, Jun Average, Australia, AUS
17.8, 2004, Jul Average, Australia, AUS
17.6, 2004, Aug Average, Australia, AUS
15.0, 2004, Sep Average, Australia, AUS
17.2, 2004, Oct Average, Australia, AUS
32.8, 2004, Nov Average, Australia, AUS
55.3, 2004, Dec Average, Australia, AUS
66.1, 2005, Jan Average, Australia, AUS
39.9, 2005, Feb Average, Australia, AUS
35.4, 2005, Mar Average, Australia, AUS
11.6, 2005, Apr Average, Australia, AUS
19.9, 2005, May Average, Australia, AUS
40.3, 2005, Jun Average, Australia, AUS
20.9, 2005, Jul Average, Australia, AUS
21.1, 2005, Aug Average, Australia, AUS
22.0, 2005, Sep Average, Australia, AUS
36.1, 2005, Oct Average, Australia, AUS
37.1, 2005, Nov Average, Australia, AUS
50.7, 2005, Dec Average, Australia, AUS
116.7, 2006, Jan Average, Australia, AUS
54.4, 2006, Feb Average, Australia, AUS
85.6, 2006, Mar Average, Australia, AUS
52.7, 2006, Apr Average, Australia, AUS
11.6, 2006, May Average, Australia, AUS
15.5, 2006, Jun Average, Australia, AUS
25.4, 2006, Jul Average, Australia, AUS
8.4, 2006, Aug Average, Australia, AUS
14.2, 2006, Sep Average, Australia, AUS
8.1, 2006, Oct Average, Australia, AUS
19.6, 2006, Nov Average, Australia, AUS
39.9, 2006, Dec Average, Australia, AUS
104.2, 2007, Jan Average, Australia, AUS
53.2, 2007, Feb Average, Australia, AUS
77.7, 2007, Mar Average, Australia, AUS
18.8, 2007, Apr Average, Australia, AUS
22.8, 2007, May Average, Australia, AUS
29.0, 2007, Jun Average, Australia, AUS
14.2, 2007, Jul Average, Australia, AUS
14.3, 2007, Aug Average, Australia, AUS
9.6, 2007, Sep Average, Australia, AUS
18.9, 2007, Oct Average, Australia, AUS
36.4, 2007, Nov Average, Australia, AUS
68.2, 2007, Dec Average, Australia, AUS
71.3, 2008, Jan Average, Australia, AUS
109.6, 2008, Feb Average, Australia, AUS
36.0, 2008, Mar Average, Australia, AUS
15.1, 2008, Apr Average, Australia, AUS
10.3, 2008, May Average, Australia, AUS
22.7, 2008, Jun Average, Australia, AUS
24.4, 2008, Jul Average, Australia, AUS
13.3, 2008, Aug Average, Australia, AUS
20.8, 2008, Sep Average, Australia, AUS
15.5, 2008, Oct Average, Australia, AUS
55.6, 2008, Nov Average, Australia, AUS
68.0, 2008, Dec Average, Australia, AUS
129.6, 2009, Jan Average, Australia, AUS
93.6, 2009, Feb Average, Australia, AUS
29.3, 2009, Mar Average, Australia, AUS
25.7, 2009, Apr Average, Australia, AUS
18.1, 2009, May Average, Australia, AUS
25.3, 2009, Jun Average, Australia, AUS
16.2, 2009, Jul Average, Australia, AUS
12.1, 2009, Aug Average, Australia, AUS
16.6, 2009, Sep Average, Australia, AUS
15.0, 2009, Oct Average, Australia, AUS
29.5, 2009, Nov Average, Australia, AUS
61.5, 2009, Dec Average, Australia, AUS
100.8, 2010, Jan Average, Australia, AUS
102.2, 2010, Feb Average, Australia, AUS
60.6, 2010, Mar Average, Australia, AUS
38.1, 2010, Apr Average, Australia, AUS
29.6, 2010, May Average, Australia, AUS
14.8, 2010, Jun Average, Australia, AUS
25.7, 2010, Jul Average, Australia, AUS
28.5, 2010, Aug Average, Australia, AUS
37.4, 2010, Sep Average, Australia, AUS
44.9, 2010, Oct Average, Australia, AUS
56.6, 2010, Nov Average, Australia, AUS
94.5, 2010, Dec Average, Australia, AUS
100.0, 2011, Jan Average, Australia, AUS
97.6, 2011, Feb Average, Australia, AUS
100.6, 2011, Mar Average, Australia, AUS
28.5, 2011, Apr Average, Australia, AUS
20.4, 2011, May Average, Australia, AUS
20.5, 2011, Jun Average, Australia, AUS
21.8, 2011, Jul Average, Australia, AUS
18.7, 2011, Aug Average, Australia, AUS
14.8, 2011, Sep Average, Australia, AUS
29.2, 2011, Oct Average, Australia, AUS
43.3, 2011, Nov Average, Australia, AUS
62.3, 2011, Dec Average, Australia, AUS
95.4, 2012, Jan Average, Australia, AUS
77.6, 2012, Feb Average, Australia, AUS
88.4, 2012, Mar Average, Australia, AUS
24.3, 2012, Apr Average, Australia, AUS
21.0, 2012, May Average, Australia, AUS
27.8, 2012, Jun Average, Australia, AUS
19.1, 2012, Jul Average, Australia, AUS
11.6, 2012, Aug Average, Australia, AUS
12.7, 2012, Sep Average, Australia, AUS
14.0, 2012, Oct Average, Australia, AUS
29.2, 2012, Nov Average, Australia, AUS
43.9, 2012, Dec Average, Australia, AUS
71.7, 2013, Jan Average, Australia, AUS
67.9, 2013, Feb Average, Australia, AUS
65.3, 2013, Mar Average, Australia, AUS
22.2, 2013, Apr Average, Australia, AUS
31.8, 2013, May Average, Australia, AUS
28.0, 2013, Jun Average, Australia, AUS
21.9, 2013, Jul Average, Australia, AUS
12.4, 2013, Aug Average, Australia, AUS
17.9, 2013, Sep Average, Australia, AUS
15.2, 2013, Oct Average, Australia, AUS
42.2, 2013, Nov Average, Australia, AUS
43.5, 2013, Dec Average, Australia, AUS
84.2, 2014, Jan Average, Australia, AUS
85.8, 2014, Feb Average, Australia, AUS
53.8, 2014, Mar Average, Australia, AUS
